,node_id,node_index,iteration,current_vector
  (93890, 0)	0.08333333333333331
  (94429, 0)	0.027777777777777776
  (94484, 0)	0.012345679012345678
  (94557, 0)	0.0648148148148148
  (94581, 0)	0.037037037037037035
  (99413, 0)	0.012345679012345678
  (99992, 0)	0.13271604938271603"
29,7766382463,91228,5,"  (66384, 0)	0.004115226337448559
  (74277, 0)	0.004115226337448559
  (74278, 0)	0.10802469135802467
  (74279, 0)	0.03703703703703703
  (74288, 0)	0.012345679012345678
  (74312, 0)	0.03600823045267489
  (74316, 0)	0.008230452674897118
  (74318, 0)	0.12654320987654316
  (74319, 0)	0.0987654320987654
  (74320, 0)	0.04012345679012345
  (75165, 0)	0.004115226337448559
  (75176, 0)	0.0030864197530864196
  (91204, 0)	0.04012345679012345
  (91224, 0)	0.10802469135802467
  (91225, 0)	0.008230452674897118
  (91229, 0)	0.1265432098765432
  (91230, 0)	0.048353909465020564
  (93874, 0)	0.08333333333333331
  (93879, 0)	0.0030864197530864196
  (93889, 0)	0.08333333333333331
  (93911, 0)	0.0030864197530864196
  (94451, 0)	0.004115226337448559
  (94460, 0)	0.004115226337448559
  (94484, 0)	0.04012345679012345
  (94556, 0)	0.03703703703703703
  (94563, 0)	0.004115226337448559
  (94565, 0)	0.006172839506172839
  (94582, 0)	0.052469135802469126
  (97692, 0)	0.0030864197530864196
  (99411, 0)	0.004115226337448559
  (99990, 0)	0.13271604938271603
  (99991, 0)	0.13271604938271603"
30,5733252177,46380,1,"  (46377, 0)	0.3333333333333333"
31,5733252177,46380,2,"  (46378, 0)	0.3333333333333333
  (46379, 0)	0.1111111111111111
  (46380, 0)	0.3333333333333333"
32,5733252177,46380,3,"  (41437, 0)	0.1111111111111111
  (46377, 0)	0.25925925925925924
  (46381, 0)	0.037037037037037035"
33,5733252177,46380,4,"  (46348, 0)	0.012345679012345678
  (46378, 0)	0.25925925925925924
  (46379, 0)	0.13580246913580246
  (46380, 0)	0.25925925925925924
  (46382, 0)	0.037037037037037035"
34,5733252177,46380,5,"  (41436, 0)	0.004115226337448559
  (41437, 0)	0.13580246913580246
  (46347, 0)	0.012345679012345678
  (46377, 0)	0.21810699588477364
  (46381, 0)	0.06172839506172839"
35,8347586870,60119,1,"  (60120, 0)	0.3333333333333333"
36,8347586870,60119,2,"  (32792, 0)	0.1111111111111111
  (52029, 0)	0.1111111111111111
  (60119, 0)	0.3333333333333333"
37,8347586870,60119,3,"  (33815, 0)	0.037037037037037035
  (52028, 0)	0.1111111111111111
  (52030, 0)	0.1111111111111111
  (60120, 0)	0.18518518518518517
  (60126, 0)	0.037037037037037035"
38,8347586870,60119,4,"  (32792, 0)	0.1111111111111111
  (34202, 0)	0.012345679012345678
  (52029, 0)	0.1111111111111111
  (60109, 0)	0.012345679012345678
  (60119, 0)	0.18518518518518517
  (60122, 0)	0.012345679012345678
  (60125, 0)	0.012345679012345678"
39,8347586870,60119,5,"  (32695, 0)	0.004115226337448559
  (33815, 0)	0.04526748971193416
  (33958, 0)	0.004115226337448559
  (52028, 0)	0.1111111111111111
  (52030, 0)	0.1111111111111111
  (52052, 0)	0.004115226337448559
  (60014, 0)	0.004115226337448559
  (60099, 0)	0.012345679012345678
  (60120, 0)	0.13580246913580246
  (60121, 0)	0.012345679012345678
  (60123, 0)	0.004115226337448559
  (60124, 0)	0.012345679012345678
  (60126, 0)	0.04526748971193416"
40,7773841305,59065,1,"  (33067, 0)	0.3333333333333333
  (59064, 0)	0.25
  (59066, 0)	1.0"
41,7773841305,59065,2,"  (52239, 0)	0.08333333333333333
  (52342, 0)	0.1111111111111111
  (59062, 0)	0.25
  (59063, 0)	0.25
  (59065, 0)	0.5277777777777777
  (61320, 0)	0.1111111111111111"
42,7773841305,59065,3,"  (33067, 0)	0.24999999999999994
  (34232, 0)	0.05555555555555555
  (52238, 0)	0.08333333333333333
  (52341, 0)	0.1111111111111111
  (59064, 0)	0.27777777777777773
  (59066, 0)	0.5277777777777777
  (61319, 0)	0.1111111111111111
  (61322, 0)	0.037037037037037035
  (63884, 0)	0.027777777777777776"
43,7773841305,59065,4,"  (39076, 0)	0.027777777777777776
  (52239, 0)	0.1296296296296296
  (52342, 0)	0.13888888888888887
  (59062, 0)	0.27777777777777773
  (59063, 0)	0.27777777777777773
  (59065, 0)	0.35185185185185175
  (59074, 0)	0.012345679012345678
  (61320, 0)	0.13271604938271603
  (61321, 0)	0.037037037037037035
  (63882, 0)	0.027777777777777776
  (63883, 0)	0.027777777777777776"
44,7773841305,59065,5,"  (32561, 0)	0.013888888888888888
  (33067, 0)	0.2078189300411522
  (34232, 0)	0.06944444444444443
  (52238, 0)	0.1296296296296296
  (52244, 0)	0.009259259259259259
  (52341, 0)	0.13888888888888887
  (59064, 0)	0.2592592592592592
  (59066, 0)	0.35185185185185175
  (59075, 0)	0.012345679012345678
  (61319, 0)	0.13271604938271603
  (61322, 0)	0.06069958847736625
  (63884, 0)	0.06172839506172838
  (63933, 0)	0.004115226337448559"
45,5733029413,46080,1,"  (45984, 0)	0.3333333333333333
  (46041, 0)	0.3333333333333333
  (61879, 0)	0.3333333333333333"
46,5733029413,46080,2,"  (45985, 0)	0.1111111111111111
  (46042, 0)	0.3333333333333333
  (46062, 0)	0.1111111111111111
  (46063, 0)	0.1111111111111111
  (46077, 0)	0.1111111111111111
  (46080, 0)	0.3333333333333333
  (61856, 0)	0.1111111111111111"
47,5733029413,46080,3,"  (45984, 0)	0.18518518518518517
  (45986, 0)	0.027777777777777776
  (46041, 0)	0.25925925925925924
  (46046, 0)	0.037037037037037035
  (46052, 0)	0.1111111111111111
  (46055, 0)	0.037037037037037035
  (46057, 0)	0.037037037037037035
  (46062, 0)	0.037037037037037035
  (46063, 0)	0.037037037037037035
  (46078, 0)	0.1111111111111111
  (46082, 0)	0.1111111111111111
  (46254, 0)	0.037037037037037035
  (61879, 0)	0.18518518518518517"
48,5733029413,46080,4,"  (45984, 0)	0.012345679012345678
  (45985, 0)	0.13271604938271603
  (45996, 0)	0.009259259259259259
  (46042, 0)	0.25925925925925924
  (46045, 0)	0.012345679012345678
  (46048, 0)	0.012345679012345678
  (46052, 0)	0.037037037037037035
  (46056, 0)	0.024691358024691357
  (46057, 0)	0.012345679012345678
  (46058, 0)	0.037037037037037035
  (46060, 0)	0.012345679012345678
  (46062, 0)	0.08641975308641975
  (46063, 0)	0.1111111111111111
  (46077, 0)	0.1111111111111111
  (46080, 0)	0.20987654320987653
  (46165, 0)	0.009259259259259259
  (46172, 0)	0.009259259259259259
  (46264, 0)	0.012345679012345678
  (61856, 0)	0.08641975308641975
  (61857, 0)	0.009259259259259259
  (61879, 0)	0.012345679012345678"
49,5733029413,46080,5,"  (39306, 0)	0.0030864197530864196
  (39322, 0)	0.0030864197530864196
  (45984, 0)	0.13580246913580246
  (45986, 0)	0.04012345679012344
  (46024, 0)	0.0030864197530864196
  (46041, 0)	0.20061728395061726
  (46046, 0)	0.03600823045267489
  (46048, 0)	0.0030864197530864196
  (46049, 0)	0.009259259259259259
  (46050, 0)	0.008230452674897118
  (46052, 0)	0.1111111111111111
  (46055, 0)	0.05349794238683127
  (46057, 0)	0.04526748971193415
  (46058, 0)	0.012345679012345678
  (46059, 0)	0.012345679012345678
  (46060, 0)	0.004115226337448559
  (46061, 0)	0.012345679012345678
  (46062, 0)	0.04526748971193416
  (46063, 0)	0.04526748971193415
  (46077, 0)	0.004115226337448559
  (46078, 0)	0.1111111111111111
  (46079, 0)	0.008230452674897118
  (46080, 0)	0.008230452674897118
  (46082, 0)	0.13271604938271603
  (46151, 0)	0.0030864197530864196
  (46166, 0)	0.004115226337448559
  (46168, 0)	0.0030864197530864196
  (46254, 0)	0.037037037037037035
  (46265, 0)	0.012345679012345678
  (61856, 0)	0.004115226337448559
  (61857, 0)	0.0030864197530864196
  (61858, 0)	0.009259259259259259
  (61879, 0)	0.13580246913580246
